2026 World Cup — 100,000 Monte Carlo simulations (Elo as of run date)

Team                  Grp    Elo    R32%   R16%    QF%    SF%  Final%  Champ%
Spain                 H     2157  100.0   91.9   75.8   69.2    54.9   38.67
Argentina             J     2115   99.9   82.0   74.7   59.3    44.1   24.67
France                I     2063   99.7   86.9   65.6   49.6    23.3   12.26
England               L     2024   99.9   80.4   52.4   33.3    15.7    6.32
Portugal              K     1989   98.9   72.0   40.0   17.6     9.2    3.19
Brazil                C     1991   99.7   66.2   41.5   22.3     8.7    3.10
Colombia              K     1982   98.7   70.2   37.5   16.4     8.3    2.85
Netherlands           F     1948   98.5   60.6   38.6   16.5     4.8    1.45
Ecuador               E     1938   99.8   66.2   28.3   14.4     4.1    1.24
Germany               E     1932   99.7   64.9   27.3   13.6     3.6    1.03
Mexico                A     1881   99.9   72.1   31.4   13.8     4.0    1.02
Turkey                D     1911   89.3   63.3   30.7    7.3     2.6    0.66
Norway                I     1914   93.0   51.5   24.8    9.8     2.5    0.65
Croatia               L     1912   98.4   48.2   16.7    7.3     2.3    0.58
Japan                 F     1906   96.3   49.0   26.1    9.4     2.2    0.52
Belgium               G     1894   98.7   69.1   34.5    6.6     2.3    0.48
Switzerland           B     1891   99.8   71.2   30.0    8.3     2.2    0.45
Uruguay               H     1892   98.1   20.7   11.6    4.8     1.7    0.31
Senegal               I     1860   83.7   36.9   14.8    3.9     0.8    0.15
Canada                B     1788   99.8   62.6   20.5    4.3     0.8    0.14
Paraguay              D     1834   71.4   37.2   11.2    2.0     0.5    0.07
Morocco               C     1827   90.9   29.6   11.3    2.8     0.4    0.06
Austria               J     1830   77.8   13.4    5.2    1.1     0.3    0.04
South Korea           A     1786   90.8   35.4   10.0    1.6     0.2    0.02
United States         D     1726   68.6   29.1    6.4    0.8     0.1    0.01
Scotland              C     1782   82.2   20.5    5.8    1.1     0.1    0.01
Iran                  G     1772   88.2   35.6    6.9    0.8     0.1    0.01
Algeria               J     1772   58.4    9.1    2.8    0.3     0.1    0.01
Australia             D     1777   50.5   19.2    4.1    0.6     0.1    0.01
Czechia               A     1712   74.5   18.4    3.8    0.3     0.0    0.00
Sweden                F     1712   52.2    9.0    1.6    0.2     0.0    0.00
South Africa          A     1511    7.5    0.4    0.0    0.0     0.0    0.00
Bosnia and HerzegovinaB     1595   53.5    5.8    0.6    0.0     0.0    0.00
Qatar                 B     1421    4.4    0.1    0.0    0.0     0.0    0.00
Haiti                 C     1548    6.2    0.2    0.0    0.0     0.0    0.00
Curaçao               E     1434    1.8    0.0    0.0    0.0     0.0    0.00
Ivory Coast           E     1695   73.4   13.0    2.2    0.1     0.0    0.00
Tunisia               F     1628   20.0    1.9    0.2    0.0     0.0    0.00
Egypt                 G     1696   68.8   16.0    1.8    0.1     0.0    0.00
New Zealand           G     1562   18.5    1.4    0.0    0.0     0.0    0.00
Cape Verde            H     1578   14.4    0.7    0.1    0.0     0.0    0.00
Saudi Arabia          H     1576   13.8    0.6    0.1    0.0     0.0    0.00
Iraq                  I     1607    4.7    0.4    0.0    0.0     0.0    0.00
Jordan                J     1680   23.5    2.3    0.5    0.0     0.0    0.00
DR Congo              K     1652   19.3    1.3    0.1    0.0     0.0    0.00
Uzbekistan            K     1714   41.1    4.8    0.8    0.1     0.0    0.00
Ghana                 L     1510    3.5    0.0    0.0    0.0     0.0    0.00
Panama                L     1730   68.3    8.8    1.9    0.2     0.0    0.00
